[2024-08-14 14:59:05,991: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-14 14:59:05,991: INFO: main: *******************]
[2024-08-14 14:59:05,991: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-14 14:59:05,993: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 14:59:05,993: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 14:59:05,994: INFO: common: created directory at: artifacts]
[2024-08-14 14:59:05,994: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-14 14:59:07,025: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-14 14:59:07,421: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-08-14 14:59:07,421: INFO: main: *******************]
[2024-08-14 14:59:07,421: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-08-14 14:59:07,421: ERROR: main: 'ModelTrainigPipline' object has no attribute 'main']
Traceback (most recent call last):
  File "main.py", line 36, in <module>
    model_trainer.main()
AttributeError: 'ModelTrainigPipline' object has no attribute 'main'
[2024-08-14 15:02:00,837: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 15:02:00,838: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:02:00,839: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:02:00,839: INFO: common: created directory at: artifacts]
[2024-08-14 15:02:00,839: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 15:02:00,839: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:02:11,567: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:02:11,924: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-14 15:02:11,924: INFO: main: *******************]
[2024-08-14 15:02:11,924: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-14 15:02:11,926: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:02:11,927: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:02:11,927: INFO: common: created directory at: artifacts]
[2024-08-14 15:02:11,927: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-14 15:02:12,770: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-14 15:02:13,156: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-08-14 15:02:13,156: INFO: main: *******************]
[2024-08-14 15:02:13,156: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-08-14 15:02:13,156: ERROR: main: 'ModelTrainigPipline' object has no attribute 'main']
Traceback (most recent call last):
  File "main.py", line 36, in <module>
    model_trainer.main()
AttributeError: 'ModelTrainigPipline' object has no attribute 'main'
[2024-08-14 15:05:07,123: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 15:05:07,124: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:05:07,125: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:05:07,126: INFO: common: created directory at: artifacts]
[2024-08-14 15:05:07,126: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 15:05:07,126: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:05:14,765: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:05:15,129: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-14 15:05:15,129: INFO: main: *******************]
[2024-08-14 15:05:15,129: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-14 15:05:15,131: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:05:15,132: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:05:15,132: INFO: common: created directory at: artifacts]
[2024-08-14 15:05:15,132: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-14 15:05:15,974: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-14 15:05:16,430: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-08-14 15:05:16,430: INFO: main: *******************]
[2024-08-14 15:05:16,430: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-08-14 15:05:16,430: ERROR: main: 'ModelTrainigPipline' object has no attribute 'main']
Traceback (most recent call last):
  File "main.py", line 36, in <module>
    model_trainer.main()
AttributeError: 'ModelTrainigPipline' object has no attribute 'main'
[2024-08-14 15:07:52,966: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 15:07:52,968: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:07:52,969: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:07:52,969: INFO: common: created directory at: artifacts]
[2024-08-14 15:07:52,969: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 15:07:52,969: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:08:02,638: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:08:02,998: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-08-14 15:08:02,998: INFO: main: *******************]
[2024-08-14 15:08:02,998: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-08-14 15:08:02,999: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:08:03,000: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:08:03,000: INFO: common: created directory at: artifacts]
[2024-08-14 15:08:03,001: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-14 15:08:03,885: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-08-14 15:08:04,321: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-08-14 15:08:04,321: INFO: main: *******************]
[2024-08-14 15:08:04,321: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-08-14 15:08:04,323: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:08:04,325: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:08:04,325: INFO: common: created directory at: artifacts]
[2024-08-14 15:08:04,325: ERROR: main: 'ConfigurationManager' object has no attribute 'get_training_config']
Traceback (most recent call last):
  File "main.py", line 36, in <module>
    model_trainer.main()
  File "/home/user/Desktop/data science/kidney-disease-classification-using-mlflow--End-to-End-Project/src/kidneyDisease/pipeline/stage_03_model_training.py", line 17, in main
    training_config = config.get_training_config()
